,Published Date,Story Name,Story,Author
108,2020-10-27T19:00:07+0000,Tired of Looking at Myself,"During my first shelter-in-place “date,” I saw myself watching him looking at me on the video call. Despite my best efforts, I was consumed by my mannerisms. Do I always tilt my head like that? Does this look like a neutral smile and not a grimace? The experience was alienating and unsettling. It increased my anxiety and crippled our conversation. Still, we decided to meet for an in-person picnic, where I could only see his face, not mine. We’ve been dating since. — Kate Sautter",Kate Sautter
109,2020-10-27T19:00:07+0000,Defining the Relationship,"I met Ashley while moving a sofa out of a walk-up in Minneapolis. Six months later, we went to a political fund-raiser. The organizer asked us how we knew each other. I said we were friends. She said, “We’re dating.” Later, I said, “Are we dating?” We had been spending all of our free time together, but I didn’t know. Ashley said, “Yes, you’re my girlfriend and I’m your girlfriend. I was in love with you the moment I met you.” We’re celebrating our anniversary this month. However, if you ask Ashley, she would say our celebration is long overdue. — Clare Baumgart",Clare Baumgart
110,2020-10-27T19:00:07+0000,An Open Purse on the Park Bench,"My grandmother’s purse sat open and unattended on a park bench in the 1950s Bronx. Alarmed, my young mother said, “Mom, your purse is open!” “It’s OK, honey,” my grandmother said. “If someone takes it, they need it more than I do.” In that moment, my mother’s young world took on a new hue. They were a poor Jewish family of five living in a small two-bedroom apartment. They barely got by. Yet, my grandmother left her heart and purse open to those who needed it most. — Deborah L. Staunton",Deborah L. Staunton
111,2020-10-20T19:00:07+0000,With a Touch of Love,"My father, Seung-ho, has always had an eye for little details. About two months into sheltering-in-place, I asked him to grab me chocolate almond milk at the grocery store. When he came home with cashew milk, I started to complain that he got the wrong milk. He interrupted me, pointing to the bottom of the carton. There, in small text, it stated, “with a touch of almond.” My annoyance melted into a wide grin because I knew how hard he must have looked to find the most almond-like milk available for me. — Rachael Lee",Rachael Lee
112,2020-10-20T19:00:07+0000,Three Stops on the Uptown Train,"Fifty-ninth Street subway platform. 6 p.m. The uptown train arrives. One car stops in front of me, another in front of him. Our stares are interrupted as we board the crowded train. He races closer to me, bumping into a mother holding a baby. He comforts the baby from crying, then keeps staring at me until my 77th Street stop. I get off. He holds his foot in the door to see if I’ll turn around. When I do, he jumps off. Forty-two years later, and married, we still look at each other with the same intensity. — Mark Wolk",Mark Wolk
113,2020-10-20T19:00:07+0000,Learning to Live,"When I was little, I would rush into my parents’ room at night to ensure they were breathing. As I grew older, I became increasingly preoccupied by death: Why do we do anything if the end is inevitable? Filled with existential dread, I’d burrow in bed for weeks. Eventually, my depressive fears found respite in knowledge. While completing my music therapy degree with an internship in hospice care, I met Seth, a registered nurse. After helping people die all day, we couldn’t help but climb in bed and be alive, honoring what feels right, right now. — Sarah Ward",Sarah Ward
114,2020-10-20T19:00:07+0000,Too Much Reality? Try Fiction,"At 90, my mother found fiction, something she had scorned her entire life. A news-loving, quick-witted, born-and-bred New Yorker, she breathlessly followed current events. Who needs a newsfeed with her calling me at work to announce that Tim Russert died? After two cornea transplants at 88, my mother shifted her perspective on fiction — and life. With her new sight, she views the world through a more sentimental lens. Now open to the imaginary, she devours novels, which we discuss like schoolgirls, reveling in our shared refuge from reality. — Melissa Zeph",Melissa Zeph
115,2020-10-13T19:00:18+0000,My Life as a Kernel,"The way a never-been-kissed 23-year-old feels on a date’s couch is the same way the last unpopped popcorn kernel feels in the microwave. As an anxious and over-scheduled kernel, I always stopped the timer before the ideal mark. But on a walk with a coronavirus-free individual, I gained the courage to complete the cycle of electromagnetic waves. These past months of death and injustice have taught me that life is short. I never knew what would diminish my first-kiss fear. Turns out a pandemic is a really good microwave. — Kate Kesselman",Kate Kesselman
116,2020-10-13T19:00:18+0000,We Came From Her Leg,"I sit in my mother’s bed in Michigan. She asks, “How did I make you?” Her eyes are fresh flowers. Her thin arms are stems. “I came from your leg,” I answer. She has a long scar above her knee from an old accident. When we were young, she convinced my three sisters and me that this was how we were born. I run to the fridge before we continue our game. Nothing is there but a box, her hospice package. Morphine and pills. She has dementia and doesn’t know she’s dying. I do. Brave for love, I walk back in. — Nancy Shayne",Nancy Shayne
117,2020-10-13T19:00:18+0000,A Railway Farewell,"She saw me in college, found me online and told me I was cute. On our first date at a New Delhi cafe, her anxiety made her talk nonstop. We discussed how the world had so many children that we would never want to procreate. When I left the city to look for a better career, she insisted on dropping me at the railway station. It became our ritual whenever I visited. Those farewells were painful. But I never realized how grateful I was for her seeing me off until our final goodbye, when I was standing on the platform alone. — Manik Saggar",Manik Saggar
118,2020-10-13T19:00:18+0000,The Last Loop,"Anna was at the age when pebbles or crayons could symbolize our five family members. Sitting on my lap, she played with my necklace, a pendant of nesting rings. Her little fingers separated each silver loop. “This circle is Daddy,” she said. “This one is Ali, this one is Michael, this one is me.” She left me out. I felt an irrational, childish wisp of disappointment. Was my mothering meaningless, my love invisible? She paused, then touched the tiny circle that joined the others to the chain. “And this one is you, Mommy, because you hold us all together.” — Leah DeCesare",Leah DeCesare
119,2020-10-06T19:00:09+0000,A Love Nest in Connecticut,"Four years ago, a pair of sparrows built a nest in our microwave vent. My husband evicted them. They rebuilt. My husband gave up. The squawking squatters now return every May to raise a family. We hear their peeping while eating our oatmeal and watch the couple fly around our yard, looking for food for their brood. In October, we know by the sudden quiet that they and their children have left. We take solace in their ability to rebuild each year, happy to provide them with a love nest in a Connecticut vent. — Beth Levine",Beth Levine
120,2020-10-06T19:00:09+0000,This Dark Devastation,"After my release from the hospital, Patti stands in the doorway of my quarantined sickroom in Port Royal, S.C. I apologize for this mortifying virus, for causing her such deep grief and for needing to be waited on day and night. “Don’t,” she says, tongue thick with hurt. “I love you.” Her response takes away my already-short breath as I suddenly understand my myopia: 52 years of marriage and I still think love must be earned. Outside my window, live oaks and Spanish moss sway. I look in her pooling eyes. Through this dark devastation, old love blossoms anew. — Steven Lewis",Steven Lewis
121,2020-10-06T19:00:09+0000,Held by String,"At 11, I was the youngest in the eating disorder program. In her 60s, Shelly was the oldest. Trapped in armchairs that smelled like scrambled eggs, we fiddled with everything: threads, tissues, clothing, beads. When a counselor confiscated my playthings, Shelly intervened: “She’s just a baby.” After 100 days, I was released. Shelly pressed a bracelet into my palm — tiny, opalescent beads strung between two leather cords. Seven years later, my wrist is too big for Shelly’s bracelet. But looking at the beads nestled in the tough leather, I think of the young girl in the veteran’s arms. — Eliza Rudalevige",Eliza Rudalevige
122,2020-10-06T19:00:09+0000,"My Mattress, My Odysseus","On a sticky August Sunday, my boyfriend balanced my mattress on his electric skateboard. This is how he transported it two miles west across Manhattan to its new home. I swooned at his ingenuity, jogging behind him with a yellow Gatorade. We wove through traffic on First Avenue and past the busy fruit sellers. Old men in Central Park paused their chess game to applaud. Bikers cheered as we took the mattress down the pedestrian lane. After our hourlong odyssey, we kissed through our masks. This city that some are calling dead is very much alive. — Meghan Gunn",Meghan Gunn
123,2020-09-29T19:00:07+0000,Sending Love,"Getting care packages at sleep-away camp felt like getting hugs through the mail. Gum, games and Mad Libs equaled instant, albeit fleeting, popularity. Now, from upstate New York, I return the favor to my mother at her senior residence in San Francisco. Dried apricots, bagels and lox, and masks show my love, but they cannot replace real contact, nor clear California’s smoky air. Midway through summer camp, we’d watch each parent’s car pull up to find their camper. Hugs during those reunions were big and long. Please, are we midway through this ordeal yet? — Melissa McNeese",Melissa McNeese
124,2020-09-29T19:00:07+0000,Still Holding Me Tight,"Conor and I had just decided to go steady when his Canadian visa expired. He wanted me to return to Ireland with him. I didn’t want him to be my only lifeline in an unfamiliar country. “Let’s go be starving artists in Berlin instead,” I said, half joking. Berlin was new to both of us. After moving, we didn’t have much. We shared a small bed and a single pillow, but I was happy because he held me tight as we slept every night. Years later, on our queen bed with an excess of pillows, he still holds me like I would fall off if he didn’t. — Sandy Yu",Sandy Yu
125,2020-09-29T19:00:07+0000,A Man of Many Tongues and Titles,"All night, my grandfather, Pepere, speaks in languages my family does not understand, claiming that dozens of robbers are breaking in or a concert is out on the deck. On unlucky dementia days, he confuses me for a past girlfriend, or puts the remote in the microwave. Pepere has earned many titles: World War II soldier, labor camp survivor, refugee to France and, most recently, 100-year-old grandfather. These days, my family focuses on the present, grateful for the warmth of his smile, the life of his language and the autumn of his age. — Abby Donnelly",Abby Donnelly
126,2020-09-29T19:00:07+0000,It’s OK to Feel This Way,"He got sad first. In a sea of anxiety, he lost his sense of self and self-worth. Sometimes, I cradled him in my arms and covered his face with kisses. Sometimes, I retreated into the calm of my own inner world. I got sad second. One morning, after arguing with my mother over coronavirus conspiracy theories, I couldn’t get up. He coaxed me out of bed with promises of light refracting off waves and briny winds, a sanctuary from the wildfire smoke. Walking hand-in-hand, our toes in the cold Pacific, I cried, finally allowing myself to feel the world’s weight. — Lilian Caylee Wang",Lilian Caylee Wang
127,2020-09-22T19:00:08+0000,‘Don’t Ever Lose This Rock’,"Six years ago, on a humid evening at an open-air bar in Vietnam, a tipsy acquaintance gave me a rock. She stole it from a potted plant, saying, “Don’t ever lose this rock.” Her goofy gesture made me blush. When I returned to the United States, we lost touch. I also lost touch with ease and intimacy in the following years, falling into bouts of unemployment, then unrelenting depression. But I did keep the rock. Each time I hold it, I remember that humid night — the feeling of belonging and excitement — and the potential to find it once again. — Ramzi Babouder-Matta",ever
128,2020-09-22T19:00:08+0000,A Blessing to Cry Again,"He texts me while I lie in coronavirus isolation, struggling to breathe: “This big house feels empty and is not home without you in it.” He last saw me in the emergency room. They told him to leave. I do not have breath to cry. So I send him a picture of me in my hospital bed — in the hospital where I work as a nurse and likely got infected. I feel terrible. Covered in sweat, gasping. “I’m still here!” I text. Every day. Until I again have breath to cry. “Come take me home.” On wings, he did. — Lisa Menzie",Lisa Menzie
129,2020-09-22T19:00:08+0000,A Sweet Reminder,"We broke up all over New York City; no one block could see us through. I saw our split coming on Astor Place and on Greenpoint Avenue, too. One night we cried until our eyes were raw on the steps of an empty storefront in Williamsburg. The end was near, we knew. A few years and many failed first dates later, I noticed a frozen yogurt shop had moved into that empty storefront. Up the stairs, I crossed the threshold of our heartbreak and savored all the flavors inside. A sweet reminder of love, how one can never get enough. — Meg Christman",Meg Christman
130,2020-09-22T19:00:08+0000,Not So Dull,"My stepfather’s name is Dave Bright. For many years, I called him Dave Dull. I didn’t want to like him. But he taught me how to relate to my mother, which I never was able to do on my own. He buys me chocolate bunnies for Easter and chocolate cherries for Christmas. One year, Dave Dull made the best tasting sauerbraten for his own birthday party because no one else in my family knew how to make it. He served three tours in Vietnam flying rescue helicopters. He beats me at chess. I’ve come to learn, he’s pretty darn Bright. — Rhonda McCalla",Rhonda McCalla
131,2020-09-15T19:00:08+0000,‘The Closest Profiles Are Miles Away’,"Finding love is hard. Finding love as a 30-year-old gay man living in his parents’ basement on an Iowa dairy farm during a pandemic is impossible. Lying in darkness in a room with cement walls, I hear my parents upstairs. Last year they celebrated 40 years of marriage. Before my grandparents died, they celebrated 52. Should I download Grindr again? For the rural gays, that’s the best place to meet. But the closest profiles are miles away and they’re usually closeted married men. So I stay away. Lonely on acres of land, I dream of connection. — Jordon Deutmeyer",Jordon Deutmeyer
132,2020-09-15T19:00:08+0000,Division Decisions,"Years ago while away for the weekend, I woke up before my friend. In the refrigerator I found a small amount of orange juice and split it between two glasses. When she woke up and saw the juice she was surprised. She said that if her husband had found the orange juice, he would have poured it all in one glass for himself. I realized that if my husband had found the small amount of juice, he would have saved it all for me. We are still together; they are not. — Darah Latourelle",Darah Latourelle
133,2020-09-15T19:00:08+0000,Grandpa and Grandson on the Go,"My grandson, a toddler on the go, and I, his grandfather with Parkinson’s, have a closeness around matters of motion. He knows that I can’t carry or lift him, so he climbs into my lap. It worries me that he might only think of me as “Papa on the couch.” Yesterday, I got off the couch with difficulty. Before I knew it, my grandson came up behind me, placing his hands behind my knees. He helped me walk, using all of his 30 pounds to support me. I was in tears. What do children see, feel and understand? Everything. — Larry Zelnick",Larry Zelnick
134,2020-09-15T19:00:08+0000,Another Chance,"A divorce after 24 years of marriage provides the chance to be yourself again. I used to be funny, so I returned to stand-up. A friend came to see me perform with her latest Bumble date. “You are crazy funny,” he said flirtatiously. Fellow Mustang drivers, we exchanged smiles as we roared off our separate ways. After my friend and the Bumble date broke up, I took him on, but it was no joke how bad we were together. I tried Bumble, connecting with a man who, coincidentally, I’d crossed paths with in New York and North Carolina. Funny how things work out. — Jennifer Zajac",Jennifer Zajac
135,2020-09-08T19:00:44+0000,Parents’ Magic in the ‘Paper Kingdom’,"After their day jobs, my parents worked as night janitors in Los Angeles. They couldn’t afford a babysitter when I was a toddler, so most nights I went to work with them. To entertain me, they told funny stories about the people who occupied the offices by day. And when I grew tired, I slept on my father’s jacket on the floor while they mopped and vacuumed. I wrote a children’s book about that time called “The Paper Kingdom.” When we learned that my story would be published, it was the first time I saw my father cry. — Helena Ku Rhee",Helena Ku Rhee
136,2020-09-08T19:00:44+0000,Fancy Meeting You Here,"When I turned 50, I gave up on finding love. Alone and depressed, I went to a friend’s Christmas party in San Francisco. There, I met John and felt an immediate spark, a sense of the extraordinary. But our conversation — and the party — ended. We met serendipitously over the years. John was never single. I gave up on love again. Then, hundreds of miles away in the High Sierra, I tried a new hiking trail. John appeared, also alone. Sensing the extraordinary, we finally kissed. And still do. — Hunter Mills",Hunter Mills
137,2020-09-08T19:00:44+0000,Not Expendable,"“It only kills old people anyway,” the young doctor said to my 72-year-old grandmother. Miffed, she recounted this interaction to me over the phone. “I could have a good 20 years left!” My grandmother mails me homemade quilts. She cares daily for my disabled mother. She baked cookies for an entire hospital floor of nurses after her successful surgery. Her presence adds richness to the world. I dream of a future in which I can see her again, and in which others see her as more than expendable. — Shayna Fleming",Shayna Fleming
138,2020-09-08T19:00:44+0000,I Can Live Without Him,"There were “Thinking of you” roses, “Congratulations” roses and “Happy Birthday” roses. Adam sent me what he considered to be “I love you” roses, but I knew that they were “I’m busy” roses. He never spent a holiday with me, not even an anniversary, nor a moment to celebrate my academic milestones. Unknown to him, his flowers made me cry. Each bouquet reminded me of the loneliness he made me feel. How wondrous that now that I am single, I am no longer lonely. — Beatrice Talmage",Beatrice Talmage
139,2020-09-01T19:01:48+0000,What Best Friends Are For,"Stationed as an Army officer in Hawaii, I was alarmed to see my mother calling from Virginia. My father had a stroke. Feeling helpless more than 4,500 miles away, I called my best friend, Nora, an E.R. nurse who lives near them. Within 15 minutes, she drove to the hospital to hold hands, translate the doctor’s prognosis and make sure that my mother ate — everything a good nurse, or a good friend, would do. With my parents settled, I finally asked what had happened. “Oh,” Nora said with a giggle. “They were having sex.” I cringed, grateful for my friend. — Veronica Bean",Veronica Bean
140,2020-09-01T19:01:48+0000,‘Space and Silence’,"I was a shy, serious child, coached to “speak up” and “try new things.” I only wanted to read. My grandmother, Inger, worked in the rare book room of the Duke University library, at a desk surrounded by leather-bound volumes on tall shelves. That room smelled like heaven: slightly musty but sweet, with notes of parchment and sandalwood. I’d make a nest under her desk and curl up with a paperback. There among books by Milton and Audubon, I devoured “Stuart Little” and “Sounder.” She gave me space and silence, and I would give almost anything to sit beside her one more time. — Memsy Price",Memsy Price
141,2020-09-01T19:01:48+0000,Dating Advice From Dad,"After church, eating cinnamon buns at a diner in Carson City, Nev., I asked my father for dating advice. I was frustrated with the men I had met on apps. He chewed, nodded and smiled. A professor, my father relishes the opportunity to provide wisdom. “Abby, successful relationships are about shared values and companionship.” His words didn’t fully resonate until months later, when Laura approached me at work in the hospital’s courtyard while I was reading on lunch break. When she invited me to join her queer book club, my father’s words drowned out my cautious inner monologue. — Abby Yee",Abby Yee
142,2020-09-01T19:01:48+0000,Document of a Day,"Drive through my favorite stretch of the 101 freeway lined by a small eucalyptus grove, heading south toward sweet Pacific Grove, Calif. On the car stereo, Neil Young reminds me and Blake that “it’s gonna take a lot of love.” Rolling into Monterey, our pace slows from our usual college frenzy. Walk to a nearby monarch butterfly sanctuary then to the beach. Stand on the rocks just beyond the tide’s reach, sun waning. Blake documents our day in his notebook. I don’t react when I read that he thinks he is falling in love with me. Pretend I didn’t see it. — Chase Wilmot",Chase Wilmot
143,2020-08-25T19:00:08+0000,Sneaky Circle of Life,"Our house in Gloucestershire, England, is full of flowers that Dad buys for Mum. She’s allergic to lilies but adores every other kind of plant, tree or foliage. They fill our kitchen. Whenever a bunch of flowers dies, Mum delights in opening the windows and flinging the flowers onto the grass below to decompose and rejoin the earth. Dad knows flowers can’t decompose on the lawn but cannot bear to spoil Mum’s joy in being part of this circle of life. So, he sneaks outside, takes the dead flowers and puts them in the compost bin. — Lucy Hicks Beach",Lucy Hicks Beach
144,2020-08-25T19:00:08+0000,Bound by Groceries,"I first saw her, masked yet elegant, near the onions. She passed me by the lettuce with a gentle “Excuse me.” I passed her again by the squash. Then we found each other by the peaches. We both fumbled to open our plastic bags with plastic gloves on. Yet she seemed unfazed, almost peaceful. At the prepared foods counter, she ordered salmon, so I ordered salmon. I peered into her cart and noticed cherries, smiling at my matching bag. That was it. Two socially distant strangers, bound together by our bags of groceries. — Melissa M.P. Baldwin",Melissa M.P. Baldwin
145,2020-08-25T19:00:08+0000,‘The Bright Colors He Favored’,"We stood in our grandfather’s closet, five granddaughters taking in his treasures. Time advanced through the neat rows: Skinny ties replacing wider versions, oversized frames replacing sleeker ones. At the funeral we tied his silk scarves in our hair, around our wrists and throats, and spoke of how he made his love of life known in the bright colors he favored, the care with which he presented himself to the world. We each selected a pair of his glasses and one of his oversized sweatshirts, holding them close. Our treasures now. — Dayna Sason",Dayna Sason
146,2020-08-25T19:00:08+0000,When Leaving Is Loving,"I was having unrelenting, debilitating panic attacks. I had lost 10 pounds in 10 days. I couldn’t eat, couldn’t sleep, couldn’t calm down. I asked my husband to leave for a week. I was afraid I would end up losing him over this, but I needed to be alone. At my request, he left, and in his absence, I calmed down. When he returned, I was grateful. I needed to be selfish, and he was able to be unselfish for me. It was the most loving thing he could have done. — Amy Goldmacher",Amy Goldmacher
147,2020-08-18T19:00:09+0000,‘I Can’t Believe You Heard Me’,"Three days into my coronavirus hellscape: It was 2 a.m. My sweet, sleep-deprived husband dozed in the living room of our Brooklyn apartment while I writhed in pain in our bed. As my temperature crept past 102 degrees, I couldn’t find the strength to get up for a cold compress. I called his name, hoping he was awake. I heard the floor creak under his footsteps. Relief washed over me. “I can’t believe you heard me,” I said. “Actually I didn’t,” he said. “The dog heard you.” My knights in shining armor. — Allie Ceccola",Allie Ceccola
148,2020-08-18T19:00:09+0000,"Boys, Bikinis and Cubed Fruit","I grew up with bowls of cut fruit — soft mangoes, vibrant dragon fruit. In our Chinese-American household, my parents chopped up big issues to make them easier for us to swallow. Misunderstandings sometimes led to raised voices — arguments fueled by generational divides, boys, bikinis, teenage selfishness. Sometimes misunderstandings led to silence. But there was always a bowl of cut fruit waiting. No problem, no question was too big to be sliced apart to eventually reach a core of understanding. Amid the cultural complexities of our Asian immigrant family, love is unspoken but unconditional in a bowl of neatly cubed apples. — Maggie Chen",Maggie Chen
149,2020-08-18T19:00:09+0000,The Iris Lenny Loved,"Inseparable for 73 years, my husband’s grandparents had a love I hope to emulate. They met on a double blind date. Lenny was supposed to fall for the other Iris, but fell for my husband’s grandmother Iris instead. When she died this April, we tried to soothe Lenny’s heartbreak with the only thing we had: Our six-foot gaze. Several weeks later, wanting to deliver cheer, we took our inflatable loungers to a patch of Park Avenue sidewalk. As we gossiped and grieved and greeted the passing neighbors, it felt like a modern version of Lenny’s Brooklyn stoop from long ago. — Lisa Sklar",Lisa Sklar
150,2020-08-18T19:00:09+0000,A Dual Diagnosis,"Sitting behind the one-way mirror as our child performed for a series of clinicians, we answered questions from psychiatrist, physician, therapists. Eventually, the diagnosis: Our child is autistic. As this sunk in, a second, more surprising revelation: My husband is autistic. A lifetime of quirkiness and misunderstanding contextualized. Now, when I grow exasperated with his brusqueness, his laser focus on idiosyncratic interests, the chaotic disarray of paperwork in his wake, I think of all the love and acceptance that I hope our child finds in the world. And it is a little easier to extend that love to them both.— Amanda Cissner",Amanda Cissner
151,2020-08-11T19:22:53+0000,Silence Is Its Own Answer,"Kim Jong-un wasn’t to blame. It turned out to be an employee error at the Hawaii Emergency Management Services that triggered a false North Korean missile alarm sent to those in the state, including my husband. He and his colleagues at the medical conference stopped discussing ocular herpes and took shelter. For 38 minutes, they faced their own imminent deaths. I wonder who he called or texted during that time; it wasn’t me. After a while, I couldn’t ignore what that silence told me. He didn’t even feel compelled to say goodbye to me, so that was goodbye. — Jennifer Byrne",Jennifer Byrne
152,2020-08-11T19:22:53+0000,A Man of Few Words,"My father’s words worked hard. He used as few as possible. “I love you,” I told him before I left for college. We were varnishing the gunwales of the canoe he had given me. “There’s a holiday,” he said, pointing to a spot I had missed. “I love you,” I told him as I pulled out of the driveway in an old car he had found. “You should say you love me back,” I said. “Write if you get work,” he said. “I love you,” I said when he was older and unwell. “That’s good,” he said, his eyes full of love and mischief. — Peggy Moss",Peggy Moss
153,2020-08-11T19:22:53+0000,Almost California Love,"Santa Barbara’s sunlight made the gold in Miguel’s eyes shimmer. Our gaze lingered. In Laguna Beach, he crooned Gipsy Kings to me at sunrise. Under a blazing Los Angeles sky, he thrust chrysanthemums into my sweaty hands, then disappeared. In San Luis Obispo, he taught me to salsa in the Madonna Inn Jacuzzi, our bodies glowing in the full moon. In Point Reyes, rain raged all afternoon, so we huddled in my car. In Stinson Beach, the sun appeared briefly for me to tell him I loved him. He embraced me and let me down gently as the sun set. — Dominic Laituri",Dominic Laituri
154,2020-08-11T19:22:53+0000,A Gift That Keeps Growing,"A well-meaning neighbor dropped off sourdough starter and a list of recipes, unannounced. “We just fed it,” he said. “You should be good to make pizza dough in about four hours.” We made the dough (what other option did we have?) and sent a picture as evidence. Soon I was feeding our “baby” twice a day, and making either pizza, crackers, bread or muffins around the clock (or so it seemed). The last recipe from his list? Cinnamon rolls. I made them today and they were delicious. We brought the rest to our neighbors. Who else? — Liz Zito",Liz Zito
155,2020-08-04T19:00:09+0000,Ambulance Songs,"I can’t help but notice the increasing frequency of Isabella singing “Wee-woo, wee-woo!” It took me a moment to realize that my 19-month-old was imitating the sounds of ambulances as they passed. We’ve become accustomed to them screaming down the streets toward Tucson Medical Center. Isabella now sings the ambulance song four, five, six times a day. Spinning with both arms raised, she projects unmitigated toddler joy at those loud, flashy boxes that roll by day and night. Every unlucky person transported past our home gets an ambulance song dedicated to them. I hope it helps. — Amber Gates",Amber Gates
156,2020-08-04T19:00:09+0000,Learning From Each Other,"We met on a St. Patrick’s Day blind date. I partied, got drunk and passed out on our friend’s couch. He thought I was beautiful. We married six months later. He is the grandson of a Klansman. His parents disowned him because I am Black; my parents accepted him. We had two sons. I almost left him three times. He was often an impatient, temperamental know-it-all. I was often too passive, insecure and private. Over 40 years, I taught him to quiet his temper and listen to others. He taught me to speak up and be stronger. We are committed. — Jacquelyn Jobe",Jacquelyn Jobe
157,2020-08-04T19:00:09+0000,The Only Person Who Could Help,"When I was 14 and my first boyfriend and I broke up, my little sister was the only person who could get me to leave my room. She led me downstairs, where she had spelled “I love you” with cards on the floor. Eyes red and puffy, I smiled for the first time all day. Nine years later, when she was 15, her first boyfriend broke up with her. I did the only thing I could to help. I wrote “I love you” in playing cards at the bottom of the stairs. Eyes red and puffy, she smiled. — Devon Burger",Devon Burger
158,2020-08-04T19:00:09+0000,The Tree,"My mother died at almost 95, and I needed to walk to the tree. That’s what my son would say after we planted a Texas redbud in Riverside Park 18 years ago. His father had died two years before, when my son was 4. Many times since we have held onto a branch and cried or stayed quiet. I talked to the tree when my son wouldn’t talk to me. I walked to the tree today and it was gone. My soul ached. Disease? Storm? I wanted to ask the tree. Without answers, we will plant another. — Patty Dann",Patty Dann
159,2020-07-28T20:32:39+0000,"My Mother, the Universe","After we moved to America from Bahrain, my mother would take my sister and me to a pond to watch ducks. We were always alone. At 5, I asked her, “Are you Allah?” She seemed to know everything. Little did either of us know that we were driving three towns over for these ducks, passing dozens of parks (with ducks) along the way. Now, I’m 26. Because of the coronavirus, our annual 200-person Eid party is back to just us, like the days at the pond when I looked up at her beaming face and saw a universe looking back. — Daanish Jamal",Daanish Jamal
160,2020-07-28T20:32:39+0000,This Brave New World,"Three weeks before the world shut down, a date on a Central Park bench lasts 16 hours. She, an Afro-Caribbean Ph.D. candidate writing a dissertation on interracial love in colonial Africa. I, a white, high school English teacher writing a novel about interracial love in the American south. Suddenly, people are dying and we are driving to Atlanta. Time spent with my family and in my hometown with its Confederate monument. Our love defies power and typical timelines. A return to Brooklyn’s masked marches. Our wedding: May 2021. Our brave new world. We will raise children in it. — Britt Buttrill",Britt Buttrill
161,2020-07-28T20:32:39+0000,My Job to Call,"After I left home for boarding school at 14, my parents never called to talk. We spoke often, but it was my job to dial: from Toronto (high school) to Philadelphia (college) to England (graduate school) to New York (my current home). Daughter: pursuer. Parents: pursued. When they did call, I was terrified that someone had died. If I went absent for weeks, testing their resolve, they called to confirm I was alive. But recently, they complained about not speaking to my children enough. Now, every Sunday morning, my phone rings and it’s them. — Maayan Dauber",Maayan Dauber
162,2020-07-28T20:32:39+0000,A Story That Bloomed,"My family’s farm in the west of Ireland had a giant honeysuckle. When sent to the spring well, I would set down my bucket to smell the blossoms. When I was 10 and we left the farmhouse for the nearby village, the honeysuckle was the only thing I missed. Yesterday, in America, I noticed a honeysuckle outside my office window. When had Ken planted it? When had I told him? In a trans-Atlantic marriage, there are so many departures and datelines, so many tales to tell. My story of the honeysuckle must have taken root in Ken’s mind, and bloomed. — Áine Greaney",Áine Greaney
163,2020-07-21T19:00:07+0000,Waiting Out the Storm,"Pigeons arrived on our fire escape, grooming one another. A couple. Affectionate. But they weren’t pigeons. There was something un-pigeonly about them. My wife called them “generic birds.” Search: “generic, monogamous birds of N.Y.C.” We discovered: “Morning doves!” No, actually: “Mourning doves,” named after their gray feathers and melancholy song. I play a recording of their plaintive call. One cocks its head in recognition. (My wife thinks he was looking at a tree.) We sit inside. They sit outside. Bonded pairs waiting out this storm, listening to ambulance sirens mix with the sound of mourning. — Scott Illingworth",Scott Illingworth
164,2020-07-21T19:00:07+0000,A Nose Like Mine,"I was 23, the age when she’d made the decision to carry me, then pass me on. He picked me up from the Atlanta airport in a limo with a bottle of champagne. I loved him immediately and as recklessly as he’d probably once loved her. “I always wanted you,” he said, his musician’s voice so different from that of Eugene, the Irish Catholic father who raised me. I studied my birth-father’s long hair, broad shoulders, calloused fingers and nose that dipped like mine. He isn’t perfect, I learned. But he’s the only man who’s written me a song. — Erin Carpenter",Erin Carpenter
165,2020-07-21T19:00:07+0000,‘The Nicest Separated Couple I Know’,"My grandparents are the nicest separated couple I know. After 28 years living under different roofs, they decided to shelter together during lockdown — much to the surprise of my family. From our video calls, I catch glimpses of their laughter and gentle teasing. I smile watching them on the same screen as they tell me about their daily walks and budding herbs in their Montreal garden. Their happy cohabitation is a silver lining, but it makes me wonder: Why didn’t they stay together all this time? — Kat Chan",Kat Chan
166,2020-07-21T19:00:07+0000,"New Cat, Old Cat","Meet my new cat, Chips. He is like a suitcase carnival: He plops down his tent and turns a field into a festival. Before we left the shelter, everyone came to say goodbye. A week after his homecoming, Chips stopped eating. I brought him to the hospital and found out he has leukemia — which is to say, he is still on his way to somewhere else. The bright striped tent is always packed up a little too fast. Meet my old cat, Chips. He was only here for a bit. When he left, everyone came to say goodbye. — Mo David",Mo David
167,2020-07-14T19:00:08+0000,Narrowing Our Social Distance,"The driving rain hit her train window and streamed two rows back across mine. The depth of her grief was impossible to contain within six feet of social distance. It spilled over. Too on edge to listen to music, I overheard her story unfold through phone calls as we crossed Connecticut: Early that morning, heart attack, her father won’t walk her down the aisle. I bore silent, masked witness to the heaviest moment of her life. On Amtrak 2167, I absorbed an ounce of her pain. Now, I will carry it for her, a stranger’s burden in a strange world. — Hannah Sands",Hannah Sands
